job_title,company_name,company_size,location,work_type,work_setting,career_level,education_level,skills_and_tools,job_description,job_requirements,posted_at,url,company_size_min,company_size_max,company_size_avg,min_experience_years,max_experience_years,salary_min,salary_max,salary_currency,salary_period,city,country
Trainee Automation QA engineer,Vertex Technologies,11-50 employees,"Cairo, Egypt",['Full Time'],On-Site,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"['Quality Assurance', 'Test Automation', 'Selenium', 'Software Testing', 'Bug Tracking', 'Analytical Thinking', 'Agile Methodologies', 'Manual Testing', 'Automation Testing', 'Python', 'Java', 'English B2']",Responsibilities:    Learn to create and maintain  automated test scripts  under the guidance of experienced QA engineers  Assist in executing  automated and manual test cases   Collaborate with QA and development teams to understand application functionality and testing requirements  Participate in analyzing test results and reporting defects  Help maintain test documentation and test data  Gradually participate in integrating automated tests into CI/CD pipelines  Support the QA team in improving test coverage and test processes    What We Offer:    Long-term career stability with a competitive salary paid in USD.  Conditions for steady career development.  Development supported by dedicated mentors and a variety of programs focused on expertise and innovation.  Private medical insurance provided after successful completion of the probationary period  A well-equipped and cozy office supports comfort and productivity across all project stages.  Welcoming atmosphere and a friendly corporate culture.,"What we expect from you:    Basic knowledge of  at least one programming language  (Python, JavaScript, or C#) at an introductory level (courses, self-study, or pet projects are enough)  Basic understanding of  software testing fundamentals  (manual and automated testing concepts)  General understanding of  software development lifecycle  and Agile principles  Willingness to learn automation testing tools and best practices  Good analytical thinking and attention to detail  English level  Upper Intermediate or higher   Basic familiarity with  bug-tracking systems  and  version control systems  (e.g. Jira, Git) is a plus    Will be a plus:    Basic knowledge or hands-on practice with  automation frameworks  such as Selenium WebDriver, Playwright, or Appium  Understanding of  CI/CD concepts  (theoretical knowledge is sufficient)  Experience from courses, internships, pet projects, or university assignments  Experience working or studying in a team environment",2026-04-09 12:56:58,https://wuzzuf.net/jobs/p/e25of4jboe2r-trainee-automation-qa-engineer-vertex-technologies-cairo-egypt,11,50,30,0.0,2.0,,,,,Cairo,Egypt
Junior Automation QA Engineer,Vertex Technologies,11-50 employees,"Cairo, Egypt",['Full Time'],On-Site,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"['Automation Testing', 'Agile Methodologies', 'SDLC', 'Software Quality Assurance', 'Problem Solving', 'Team Collaboration']","We are an Egyptian technology company delivering international software projects in cooperation with the global NIX brand.  Our office in Smart Village, at the heart of Cairo’s tech ecosystem , offers stability, transparent working conditions, professional mentorship, and a supportive team — an  ideal environment to start your career in automation.      What You Will Do:   Work with Selenium, Appium, Playwright, Cypress, TestNG, JUnit, NUnit and other frameworks to create, maintain, and improve automated test scripts.  Collaborate with QA and development teams to define the automation strategy.  Execute automated tests within CI/CD processes and analyze the results.  Identify, document, and track defects using bug-tracking systems.  Maintain the relevance of automated tests according to product changes.  Prepare and update test data required for automation execution.      Projects You May Join:  In our Cairo office, you will work with products across key domains:   Healthcare — solutions where software quality directly impacts people’s well-being.  E-commerce and Logistics — large-scale and high-load platforms.  EdTech — learning systems used by millions of users worldwide.   We apply AI/ML, data-driven approaches, and enhance cybersecurity across products. For a Junior Automation QA Engineer, this means exposure to diverse technologies, hands-on experience, and real testing scenarios in international-scale products.      What We Offer:    Long-term career stability with a competitive salary paid in USD.  Conditions for steady career development.  Development supported by dedicated mentors and a variety of programs focused on expertise and innovation.  Private medical insurance provided after successful completion of the probationary period  A well-equipped and cozy office supports comfort and productivity across all project stages.  Welcoming atmosphere and a friendly corporate culture.","Requirements:   1+ year of hands-on programming experience with C#, JavaScript or Python.  Basic understanding of automation testing approaches and related tools.  Solid understanding of Agile principles and SDLC.  Experience working with bug-tracking tools and version control systems.  English level — Upper-Intermediate.   We welcome candidates who are willing to grow and improve their automation skills.     What Matters to Us:   Ability to work in a team and maintain healthy, constructive communication.  Maturity in decision-making and responsibility for technical quality and results.  Strong analytical skills and the ability to identify root causes of technical issues quickly.  Accuracy in documentation, attention to detail, and adherence to agreed processes.  A good level of English for communication within an international team.      Nice to Have:   Knowledge of Selenium WebDriver, Playwright, or Appium.  Understanding of CI/CD processes and experience with Jenkins / GitLab CI.  Experience collaborating with international or distributed teams.",2026-04-09 12:57:31,https://wuzzuf.net/jobs/p/0kvgq7bbtvmc-junior-automation-qa-engineer-vertex-technologies-cairo-egypt,11,50,30,1.0,6.0,,,,,Cairo,Egypt
Middle Automation QA Engineer.,Vertex Technologies,11-50 employees,"Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Bachelor's Degree,"['Test Automation', 'Selenium', 'Cypress', 'CI/CD', 'API Testing', 'Agile Methodologies', 'Bug Tracking', 'Quality Assurance']","We are looking for a  Middle Automation QA Engineer  to become a part of a big and friendly team. Back-end microservices, Web UI portal, mobile applications, VR applications, Data Analytics and Machine learning - we have various projects with the mentioned technologies and we need your professional input in there.      What We Offer:    Long-term career stability with a competitive salary paid in USD.  Conditions for steady career development.  Development supported by dedicated mentors and a variety of programs focused on expertise and innovation.  Private medical insurance provided after successful completion of the probationary period  A well-equipped and cozy office supports comfort and productivity across all project stages.  Welcoming atmosphere and a friendly corporate culture.",What we expect from you:   At least 2 years of commercial experience as a QA automation engineer.  Proficiency in a test automation-capable programming language (Python\JS\TS\C#…).  Deep understanding of Agile methodology and software development principles.  Experience in developing end-to-end UI and\or API tests.  Experience in working with bug-tracking and test management systems.  Experience with Git.  English skills at the upper-intermediate or higher level.      Will be a plus:   Performance testing skills.  Advanced programming or scripting skills.  Experience in building a commercial-grade automation framework from scratch.  Experience with Docker.  Experience with Jenkins or similar CI tools.,2026-04-09 12:57:53,https://wuzzuf.net/jobs/p/uusoe8wzc6ov-middle-automation-qa-engineer-vertex-technologies-cairo-egypt,11,50,30,2.0,6.0,,,,,Cairo,Egypt
Application support Engineer,EAST,101-500 employees,"Maadi, Cairo, Egypt",['Full Time'],On-Site,Entry Level (Junior Level / Fresh Grad),Not Specified,"['Dynamics AX 2012', 'Microsoft Office 365', 'Application Support']","- Provide assistance to business users for ERP , Dynamics AX 2012 R3through IT tickets and various communication channels.  -Analyze, categorize, and prioritize support tickets according to severity and impact.  -Troubleshoot and resolve technical issues related to ERP , Dynamics AX 2012 R3, escalating to higher support levels when needed.  -Work with different teams to solve complex problems and provide comprehensive support.  -Record issues and resolutions in a knowledge base to aid future troubleshooting.  -Assist in testing new features released within the system.  -Develop an understanding of integration and interaction between ERP , and other corporate solutions ( Dynamics AX 2012 R3).  -Help monitor corporate applications to ensure system up and running  -Log incidents, requests, and complaints accurately to track and resolve in a timely manner.  -Draft Change Request Documents to assist developers with required changes or updates.","-high knowledge of Microsoft Dynamics AX 2012-R3 and Microsoft Dynamics 365 and troubleshooting principles.  -Ability to categorize and prioritize tasks effectively.  -Strong communication skills to interact with users and team members.  -Eagerness to understand the Microsoft Dynamics AX 2012-R3 and Dynamics 365 environment and related applications, with room for growth in ERP support.",2026-04-09 13:41:17,https://wuzzuf.net/jobs/p/ubaeexqrx4id-application-support-engineer-east-cairo-egypt,101,500,300,2.0,5.0,,,,,Cairo,Egypt
Teamleader,IntComp Tech Intelligence,11-50 employees,"Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Not Specified,"['Agile', 'Azure', 'Management', 'Software Development', '.Net', 'Azure DevOps Server', 'DevOps', 'Microservices', 'Rancher', 'Team Leadership', 'Solution Architecture', 'CI/CD', 'Cloud Platforms', 'Agile Methodologies', 'Mentorship', 'Strategic Planning', 'Problem Solving']","Are you a seasoned IT professional with a passion for leading teams and pioneering innovative software solutions? We are on the hunt for a dynamic  DevOps Team Lead  to spearhead our development initiatives in  Cairo, Egypt . This is an incredible  on-site  opportunity to drive technological excellence and foster a culture of high performance!   Overview:  As our DevOps Team Lead, you'll be at the forefront of designing, developing, and deploying cutting-edge software applications. You'll lead a talented team, guiding them through complex projects while championing best practices in DevOps and software architecture. This role offers a unique blend of hands-on technical work and strategic leadership.   Responsibilities:     Lead and mentor  a high-performing software development team, fostering their growth and ensuring project success.   Architect and implement  scalable, resilient, and high-performance microservices-based solutions using  .Net  technologies.   Drive DevOps excellence  by designing and optimizing CI/CD pipelines with  Azure DevOps Server  and leveraging container orchestration with  Rancher .   Collaborate closely  with product owners and stakeholders to translate business requirements into robust technical solutions.   Ensure code quality , security, and maintainability through regular code reviews and adherence to industry standards.   Troubleshoot and resolve  complex technical issues across development, staging, and production environments.    Skills &amp; Technologies:  This role demands a deep understanding of the  .Net ecosystem , extensive experience in  Software Development , and a strong background in  DevOps methodologies . Expertise in  Microservices architecture ,  Azure DevOps Server , and  Rancher  is crucial. We also value skills in  Team Leadership ,  Solution Architecture , and  Cloud Platforms .   Growth Opportunities:  Ignite your career with endless possibilities for professional development. You'll have access to cutting-edge technologies, continuous learning programs, and a clear path for advancing into more senior architectural or leadership roles. We believe in empowering our leaders to grow and innovate.   Team &amp; Culture:  Join a vibrant and supportive team that thrives on collaboration, innovation, and mutual respect. We foster a culture where ideas are celebrated, challenges are met with enthusiasm, and every team member's contribution is valued. Work in a fast-paced environment that encourages experimentation and continuous improvement.   Impact:  Your work will directly shape the future of our software products, influencing critical business operations and delivering exceptional value to our customers. This is your chance to make a significant, tangible impact on our technological landscape and lead a team to achieve extraordinary results.","Experience:  A minimum of  5-10 years  of progressive experience in software development and DevOps roles, with a proven track record of leading technical teams.   Required Skills:   Profound expertise in  .Net  development and modern  Software Development  practices.  Extensive hands-on experience with  Azure DevOps Server  for CI/CD and release management.  Strong understanding and practical application of  DevOps  principles and culture.  Demonstrable experience in designing and implementing  Microservices  architectures.  Proficiency in containerization and orchestration, specifically with  Rancher .  Proven capability in  Team Leadership , including mentorship and performance management.  Solid background in  Solution Architecture  and designing scalable systems.  Experience with  Cloud Platforms  and modern deployment strategies.  Familiarity with  Agile Methodologies  and strategic planning.     Career Level Expectations:  This is an  Experienced  level role for a leader ready to take on significant responsibility and drive technical excellence.",2026-04-09 14:47:18,https://wuzzuf.net/jobs/p/ovsm5gjibia4-teamleader-intcomp-tech-intelligence-cairo-egypt,11,50,30,5.0,10.0,,,,,Cairo,Egypt
Senior NetSuite Developer,Bluebell Pharmaceuticals,101-500 employees,"Maadi, Cairo, Egypt",['Full Time'],On-Site,Experienced (Non-Manager),Not Specified,"['Computer Science', 'Information Technology (IT)', 'Software Development', 'NetSuite', 'Software Engineering', 'SQL', 'JavaScript', 'Development', 'CSS', 'XML', 'SDK', 'HTML', 'SuiteScript 2.x']","Advanced Customization and Development  Lead development using SuiteScript 2.1 (User Event, Client, Scheduled,Map/Reduce, Suitelets)  Design and manage workflows using SuiteFlow Customize forms, fields, and records to improve usability across Finance, Sales, and Supply Chain  System Integration and Architecture  Develop and maintain integrations with third-party systems (Salesforce, Shopify, AWS) using RESTlets, SuiteTalk, and Web Services Manage iPaaS platforms such as Celigo, Dell Boomi, or MuleSoft Ensure data integrity, security, and compliance with access control standards  Leadership and Strategy  Mentor junior and mid-level developers and review code Collaborate on ERP technical roadmap with stakeholders and NetSuite --Administrators Manage Sandbox environments, deployments, and version control using GitHub and SuiteCloud Development Framework","Bachelor’s degree in computer science, Information Technology, or related field 5 to 8 years of hands-on NetSuite development experience Strong expertise in JavaScript and SuiteScript 2.x Good understanding of HTML, CSS, XML, and JSON Solid knowledge of SQL and relational databases (SuiteAnalytics Connect) Experience with CI/CD pipelines and NetSuite SuiteCloud SDK",2026-04-09 15:17:27,https://wuzzuf.net/jobs/p/0jtejubmsfdj-senior-netsuite-developer-bluebell-pharmaceuticals-cairo-egypt,101,500,300,3.0,5.0,,,,,Cairo,Egypt
Information Technology Infrastructure Operations Section Head,K Line Europe,101-500 employees,"Nasr City, Cairo, Egypt",['Full Time'],Remote,Manager,Not Specified,"['AWS', 'Cloud', 'Computer Science', 'Information Technology (IT)', 'Network', 'Management', 'Technology']","&nbsp;  At&nbsp; K&nbsp;Line&nbsp;Middle&nbsp;East ,&nbsp;we&nbsp;are&nbsp;part&nbsp;of&nbsp;a&nbsp;global&nbsp;leader&nbsp;in&nbsp;clear&nbsp;aligner&nbsp;manufacturing,&nbsp;delivering&nbsp;high-quality,&nbsp;technology-driven&nbsp;dental&nbsp;solutions.&nbsp;Our&nbsp;operations&nbsp;rely&nbsp;on&nbsp;a&nbsp;robust&nbsp;IT&nbsp;infrastructure&nbsp;to&nbsp;support&nbsp;production,&nbsp;remote&nbsp;teams,&nbsp;and&nbsp;global&nbsp;collaboration.  &nbsp;   Job&nbsp;Summary   We&nbsp;are&nbsp;seeking&nbsp;an&nbsp;experienced&nbsp; IT&nbsp;Operations&nbsp;&amp;&nbsp;Infrastructure&nbsp;Manager &nbsp;to&nbsp;lead&nbsp;and&nbsp;manage&nbsp;our&nbsp;IT&nbsp;operations,&nbsp;ensuring&nbsp;high&nbsp;availability,&nbsp;security,&nbsp;and&nbsp;performance&nbsp;of&nbsp;all&nbsp;systems&nbsp;and&nbsp;services.  This&nbsp;role&nbsp;is&nbsp;responsible&nbsp;for&nbsp;overseeing&nbsp;daily&nbsp;IT&nbsp;operations,&nbsp;managing&nbsp;infrastructure&nbsp;(cloud&nbsp;and&nbsp;on-prem),&nbsp;leading&nbsp;the&nbsp;IT&nbsp;team,&nbsp;and&nbsp;ensuring&nbsp;business&nbsp;continuity&nbsp;across&nbsp;all&nbsp;functions.  &nbsp;   Key&nbsp;Responsibilities   IT&nbsp;Operations&nbsp;Management   Oversee&nbsp;daily&nbsp;IT&nbsp;operations,&nbsp;ensuring&nbsp;system&nbsp;uptime&nbsp;and&nbsp;service&nbsp;reliability  Manage&nbsp;incident&nbsp;response,&nbsp;problem&nbsp;resolution,&nbsp;and&nbsp;service&nbsp;requests  Define&nbsp;and&nbsp;monitor&nbsp;SLAs,&nbsp;KPIs,&nbsp;and&nbsp;performance&nbsp;metrics   Infrastructure&nbsp;&amp;&nbsp;Cloud&nbsp;Management   Manage&nbsp;and&nbsp;maintain&nbsp;IT&nbsp;infrastructure&nbsp;(cloud&nbsp;&amp;&nbsp;on-premise)  Oversee&nbsp;virtualization&nbsp;environments&nbsp;and&nbsp;network&nbsp;systems  Ensure&nbsp;backup,&nbsp;disaster&nbsp;recovery,&nbsp;and&nbsp;business&nbsp;continuity&nbsp;plans   Security&nbsp;&amp;&nbsp;Compliance   Implement&nbsp;and&nbsp;enforce&nbsp;IT&nbsp;security&nbsp;policies&nbsp;and&nbsp;procedures  Ensure&nbsp;compliance&nbsp;with&nbsp;data&nbsp;protection&nbsp;regulations&nbsp;(e.g.,&nbsp;GDPR)  Manage&nbsp;user&nbsp;access&nbsp;control&nbsp;and&nbsp;system&nbsp;security   Team&nbsp;Leadership   Lead,&nbsp;mentor,&nbsp;and&nbsp;develop&nbsp;the&nbsp;IT&nbsp;team  Allocate&nbsp;resources&nbsp;and&nbsp;manage&nbsp;workloads&nbsp;effectively  Drive&nbsp;performance&nbsp;and&nbsp;continuous&nbsp;improvement   Vendor&nbsp;&amp;&nbsp;Stakeholder&nbsp;Management   Manage&nbsp;external&nbsp;IT&nbsp;vendors&nbsp;and&nbsp;service&nbsp;providers  Collaborate&nbsp;with&nbsp;internal&nbsp;departments&nbsp;to&nbsp;support&nbsp;business&nbsp;needs  Provide&nbsp;regular&nbsp;reports&nbsp;to&nbsp;senior&nbsp;management&nbsp;and&nbsp;CTO   &nbsp;","&nbsp;Qualifications    Bachelor’s&nbsp;degree&nbsp;in&nbsp;IT,&nbsp;Computer&nbsp;Science,&nbsp;or&nbsp;related&nbsp;field   5–10&nbsp;years&nbsp;of&nbsp;experience &nbsp;in&nbsp;IT&nbsp;operations&nbsp;or&nbsp;infrastructure  Proven&nbsp;experience&nbsp;in&nbsp; managing&nbsp;IT&nbsp;teams   Strong&nbsp;knowledge&nbsp;of:  Cloud&nbsp;platforms&nbsp;(AWS&nbsp;/&nbsp;Azure)  Network&nbsp;&amp;&nbsp;systems&nbsp;infrastructure  IT&nbsp;service&nbsp;management&nbsp;(ITIL&nbsp;is&nbsp;a&nbsp;plus)  Experience&nbsp;in&nbsp;the&nbsp; manufacturing&nbsp;or&nbsp;healthcare&nbsp;industry&nbsp;is&nbsp;a&nbsp;plus    &nbsp;   &nbsp;Key&nbsp;Competencies    Strong&nbsp;leadership&nbsp;and&nbsp;decision-making&nbsp;skills  Problem-solving&nbsp;and&nbsp;analytical&nbsp;thinking  High&nbsp;sense&nbsp;of&nbsp;ownership&nbsp;and&nbsp;accountability  Excellent&nbsp;communication&nbsp;and&nbsp;stakeholder&nbsp;management   &nbsp;   &nbsp;Why&nbsp;Join&nbsp;Us    Work&nbsp;in&nbsp;a&nbsp;fast-growing,&nbsp;technology-driven&nbsp;environment  Be&nbsp;part&nbsp;of&nbsp;a&nbsp;global&nbsp;organization&nbsp;with&nbsp;international&nbsp;exposure  Opportunity&nbsp;to&nbsp;lead&nbsp;and&nbsp;shape&nbsp;IT&nbsp;operations&nbsp;in&nbsp;the&nbsp;region",2026-04-09 15:31:34,https://wuzzuf.net/jobs/p/xnan8hblbxby-information-technology-infrastructure-operations-section-head-k-line-europe-cairo-egypt,101,500,300,7.0,10.0,,,,,Cairo,Egypt
SALES MANAGER,Unknown,Unknown,"London, United Kingdom",['Full Time'],Remote,Manager,Not Specified,"['Sales', 'Client Relations', 'Communication', 'Follow Up', 'Computer Skills']","Act as the primary contact for client inquiries regarding trading accounts, platform functionality, and brokerage services.  Conduct product presentations and brokerage service demonstrations to prospective and actual clients.  Maintain regular engagement with clients to improve retention and trading activity.  Provide guidance on available trading tools, account types, and brokerage offerings.  Follow up with leads from marketing campaigns, webinars, seminars, and digital channels.  Drive client deposits and trading engagement through value-based selling.   Provide feedback to marketing and product teams regarding client needs and market dema","Strong time management and ability to prioritize high-value opportunities.  Ability to manage a sales pipeline and track client engagement activities.  Technical Requirements   Stable high-speed internet connection.  Personal computer capable of running required CRM, communication, and trading software.  Dedicated and secure workspace.  Proficiency with productivity tools such as Google Workspace (Gmail, Docs, Sheets).                   Benefits:    Work in a leading forex company.  Competitive salary + bonuses for high performance.  Opportunities for career growth and development.  Remote work",2026-04-10 12:54:47,https://wuzzuf.net/jobs/p/z11fjebeuhdy-sales-manager-london-united-kingdom,76,76,76,4.0,10.0,26547.0,37200.0,EGP,Month,London,United Kingdom
SOCIAL MEDIA MARKETING SPECIALIST,Unknown,Unknown,"London, United Kingdom",['Full Time'],Remote,Manager,Not Specified,"['Bing', 'Google', 'Taboola', 'Kadam', 'Propellers', 'Telegram', 'Social Media']","To manage, grow, and professionalize the company on social media channel by delivering  high-quality, compliant, and value-driven content  that attracts organic followers, builds trust in financial products, and supports sustainable audience and lead growth within the fintech.  Define content pillars: market education, platform/product explanation, thought leadership, and community engagement.","Proficient in Bing/Google, Taboola, Kadam, Propellers, and Telegram  Laptop, stable internet  Demonstrated ability to grow channels  organically , not just through ads.  Excellent written communication skills with financial literacy awareness.  Analytical mindset with experience using social media analytics tools.",2026-04-10 15:15:30,https://wuzzuf.net/jobs/p/iaop8pshivzj-social-media-marketing-specialist-london-united-kingdom,76,76,76,3.0,10.0,160.0,266.0,EGP,Hour,London,United Kingdom
Odoo Developer,bcoit,Unknown,"Maadi, Cairo, Egypt",['Part Time'],Remote,Entry Level (Junior Level / Fresh Grad),Not Specified,"['Odoo', 'Python', 'PostgreSQL', 'SQL', 'HTML', 'CSS', 'JavaScript', 'Git', 'Odoo Framework', 'Analytical Thinking', 'Problem Solving', 'Communication Skills']","Are you an aspiring developer with a passion for innovative business solutions? Do you thrive in a remote work environment and dream of making a tangible impact from day one? We're on the hunt for a talented and enthusiastic  Part-Time Odoo Developer  to join our dynamic team, operating remotely from  Cairo, Egypt !  This is an incredible opportunity for an  Entry-Level  professional to dive deep into the world of Odoo, leveraging your Python expertise to build and enhance cutting-edge enterprise resource planning systems. If you're eager to learn, grow, and contribute to meaningful projects, your journey starts here!   Responsibilities:     Develop and Customize:  Design, develop, and implement new Odoo modules and features, tailoring solutions to meet specific business needs.   Maintain and Enhance:  Contribute to the ongoing maintenance, enhancement, and optimization of existing Odoo installations.   Integrate Systems:  Assist in the integration of Odoo with other third-party applications and services.   Troubleshoot and Support:  Provide technical support and troubleshoot issues related to Odoo functionalities, ensuring smooth operation for users.   Collaborate:  Work closely with business analysts and other developers to understand requirements and deliver high-quality solutions.   Document:  Create and maintain clear technical documentation for Odoo customizations and developments.    Skills & Technologies You'll Master:   You'll be working hands-on with a powerful stack, including:    Odoo:  Comprehensive ERP system development and customization.   Python:  The backbone of Odoo development, applied to real-world solutions.   PostgreSQL & SQL:  Database management and querying for robust data handling.   HTML, CSS, [removed]/strong> Front-end development for intuitive Odoo user interfaces.   Git:  Version control for collaborative and efficient code management.   Odoo Framework:  Deep understanding of Odoo's architectural principles.    Growth Opportunities:   As an Entry-Level Odoo Developer, you'll be immersed in a supportive learning environment. We are committed to your professional development, offering mentorship, access to advanced Odoo training, and the chance to take on increasingly complex challenges. Your career trajectory with us is limitless!   Team & Culture:   Join a vibrant, collaborative, and forward-thinking team that values innovation and mutual support. We embrace a fully remote culture, fostering an environment where you can excel from the comfort of your home in Cairo while staying connected and engaged with colleagues globally. We believe in work-life balance and empowering our team members.   Impact:   Your work will directly contribute to streamlining business operations, improving efficiency, and driving success for our clients. You'll play a crucial role in building robust and scalable Odoo solutions that make a real difference in how businesses operate.","A Stellar Developer in the Making:  Possess  1-2 years of hands-on experience  in Odoo development or Python programming, ready to accelerate your career.   Odoo &amp; Python Prowess:  Demonstrate a solid understanding and practical experience with  Odoo  and  Python .   Database Savvy:  Familiarity with  PostgreSQL  and strong  SQL  skills for data manipulation and querying.   Front-End Foundations:  Basic knowledge of  HTML, CSS, and JavaScript  to contribute to Odoo's user interface.   Version Control Virtuoso:  Experience with  Git  for collaborative development and code management.   Problem Solver Extraordinaire:  A keen analytical mind with strong  problem-solving  abilities and an eagerness to learn new technologies.   Communicative &amp; Collaborative:  Excellent  communication skills , both written and verbal, to articulate ideas and work effectively within a remote team.   Career Level:  This is an  Entry-Level  position designed for ambitious individuals ready to launch their professional journey in IT/Software Development.",2026-04-10 17:11:07,https://wuzzuf.net/jobs/p/w4m4o6v9bq0n-odoo-developer-bcoit-cairo-egypt,76,76,76,1.0,2.0,,,,,Cairo,Egypt
