Skill,Count
Computer Science,239
Information Technology (IT),236
Software Development,156
Engineering,96
SQL,75
Software Engineering,67
JavaScript,64
Communication,61
Python,51
Git,46
Computer Engineering,41
CSS,40
Problem Solving,40
Software,40
Technical Support,39
React,36
HTML,34
Sales,34
Project Management,34
ERP,34
Troubleshooting,33
HTML5,29
Agile,29
Customer Service,27
Management,26
Java,25
Problem-solving,25
English,25
C#,24
Networking,24
Business Analysis,24
Sales Target,24
RESTful APIs,24
.Net,23
Oracle,23
MySQL,22
Angular,22
CSS3,21
PHP,20
Agile Methodologies,20
Design,20
AI,20
Data Analysis,19
jQuery,18
Web Development,18
Odoo,18
Security,18
Node.js,18
Microsoft Office,17
javaScript,17
Testing,17
PostgreSQL,17
DevOps,16
Network Security,16
CRM,16
IT,16
Development,16
Business Development,15
Communication Skills,15
Analysis,15
Negotiation,15
Docker,14
Network,14
business,13
UI,13
MVC,13
Automation,12
Machine Learning,12
Software Testing,12
Quality Control,12
Accounting,12
CCNA,12
Administration,12
JIRA,12
REST,12
Network Administration,12
Finance,12
Scrum,11
Linux,11
System Administration,11
Customer Support,11
Business Administration,11
Quality Assurance,11
SAP,11
OOP,11
AWS,11
Power BI,11
ITIL,11
Communication skills,11
React Native,11
ERP System,10
Azure,10
API,10
Cybersecurity,10
Front-End Development,10
Documentation,10
Full Stack Development,10
Android,10
Team Leadership,9
ASP.Net,9
Project,9
.NET,9
Time management,9
Information Security,9
Back-End Development,9
Technical troubleshooting,9
Laravel,9
Selenium,9
XML,8
Odoo Development,8
Microsoft SQL Server,8
Typescript,8
Kubernetes,8
Networks,8
Microsoft Excel,8
Lead Generation,8
PMP,8
sales skills,8
ERP Software,8
Installation,8
Cisco,8
Mobile Development,8
Program Development,8
Marketing,8
Application Support,8
Odoo ERP,8
SQL Server,8
Programming,8
Stakeholder Management,8
Technology,8
Team Collaboration,8
Cloud,8
CMS,7
System Integration,7
Tableau,7
Data Modeling,7
Database,7
Problem-Solving,7
Customer service,7
SEO,7
React.js,7
SW Development,7
ERP Implementation,7
Product Management,7
Microsoft Azure,7
QA,7
APIs,7
UI Design,7
CI/CD,7
Telecommunication,7
Technical Documentation,7
UI/UX,7
CRM Software,7
Requirements Gathering,7
Analytical Thinking,7
Database Management,7
Presentation Skills,7
MongoDB,7
Computer Skills,7
UX,7
IT Service Management,6
Architecture,6
Teamwork,6
SDLC,6
Artificial Intelligence (AI),6
Redis,6
Backend Development,6
Responsive Design,6
Cyber Security,6
MCSA,6
LAN,6
ASP.NET Core,6
Data Science,6
Manual Testing,6
English B2,6
Vue.js,6
Maintenance,6
NoSQL,6
Information Systems,6
PL/SQL,6
JSON,6
Commerce,6
.Net Development,6
Microsoft Office 365,6
ISTQB,6
Business Intelligence,6
BI,6
Full Stack,5
Azure DevOps Server,5
Reporting,5
MS Office,5
WAN,5
Oracle Forms,5
ASP.NET,5
Indoor Sales,5
Automation Testing,5
Multitasking,5
SAP FICO,5
SaaS,5
System Design,5
Entity Framework,5
HelpDesk,5
Agile methodologies,5
Javascript,5
C++,5
Microservices,5
Web Design,5
Team leadership,5
Information Technology,5
Data Entry,5
API Integration,5
React js,5
Market Research,5
AWS Cloud,5
MS SQL,4
Microsoft Power BI,4
CCNP,4
Telesales,4
Hardware,4
Information technology,4
DNS,4
Databases,4
computer,4
Cloud Computing,4
Automation Systems,4
Agile Software,4
Risk Management,4
MCSE,4
Spring Boot,4
Next.js,4
Social Media,4
ERP Systems,4
Bootstrap,4
Flutter,4
Telecom Engineering,4
Data Analytics,4
SIEM,4
Computer Hardware,4
Fortinet,4
Presales,4
c#,4
Pre-Sales,4
Sales Field,4
Sass,4
QC,4
Spring Framework,4
ERP Solutions,4
python development,4
Graphic Design,4
ETL,4
Planning,4
Software Architecture,4
Active Directory,4
Collaboration,4
B2B Sales,4
Oracle Reports,4
B2B,4
.Net Framework,4
REST APIs,4
Deep Learning,4
ServiceNow,4
Microservices Architecture,4
Mobile Application Development,4
iOS,4
Swift,4
Github,4
TypeScript,4
Banking,4
Account Management,4
Front End,4
Implementation,4
Kotlin,4
Oracle PL/SQL,4
Erp systems,3
Restful apis,3
Sql,3
Data Visualization,3
Data analysis,3
TensorFlow,3
C/C++,3
Software development,3
Science,3
HCM,3
Data,3
Redux,3
PowerShell,3
Express.js,3
System Analysis,3
Salesforce,3
Technical Troubleshooting,3
Vendor Management,3
Mysql Database,3
Database SQL Server,3
Agile Software Development,3
Cloud computing,3
Time Management,3
quality,3
Agile Methodology,3
Troubleshoot,3
Call Center,3
Debugging,3
FastAPI,3
ASP.Net Web API,3
Project management,3
Vmware,3
Microsoft Dynamics CRM,3
Sales Planning,3
Presentation,3
Python Programming,3
UX Design,3
Data Engineering,3
IT Support,3
Projects,3
Big Data,3
MVVM,3
Sales Account Manager,3
Data Migration,3
Repair,3
PRINCE2,3
Computer,3
Project Coordination,3
Unit Testing,3
Service Desk,3
Integration,3
Product Development,3
UAT,3
Payments,3
Professional Scrum Master,3
API Testing,3
CCTV System,3
Windows,3
IBM,3
JMeter,3
WordPress,3
Human Resources (HR),3
Oracle Database,3
Configuration,3
Postman,3
LLMs,3
computer science,3
information technology (it),3
sql,3
python,3
Logistics,3
Supply Chain,3
ITSM,3
Android SDK,3
Software Sales,3
Webpack,3
spring Framework,3
excel,3
Solution Architecture,3
Recruitment,3
ABAP,3
Windows Server,3
IT Infrastructure Management,3
Software Installation,3
WordPress Development,3
Hardware Maintenance,3
Object-Oriented Programming (OOP),3
MS SQL Server,3
Data Management,3
.NET Core,3
Microsoft Dynamics,3
iOS Development,3
Systems Integration,3
Dynamics 365,3
Cloud Platforms,3
Autopilot,3
Software Development Life Cycle (SDLC),3
SCCM,3
MDM/MAM,3
Intune,3
Azure AD,3
Conditional Access,3
MD102,3
AZ900,3
microsoft office,2
Quality,2
Financial,2
Leadership,2
Fusion,2
Training,2
HR Systems,2
LLM,2
Risk Assessment,2
Java SE,2
Vendor management,2
Cypress,2
OCP,2
Network administration,2
Go,2
Rest apis,2
Weblogic,2
Bug Tracking,2
User Experience (UX),2
Information Analysis,2
Sales Skills,2
Financial Analysis,2
Ticketing Systems,2
Analyst,2
crystal reports,2
Oracle EBS R12,2
Desktop Applications,2
Customer Satisfaction,2
Private Cloud,2
RAG,2
IT Infrastructure,2
Software architecture,2
Cisco ACI,2
Construction,2
Nutanix AHV,2
Client Relations,2
Follow Up,2
PyTorch,2
Web Applications,2
Backup,2
DBA,2
ReactJS,2
Cisco CCNA,2
Cisco Firewall,2
next.js,2
Express,2
Nest.js,2
ERP Applications,2
Front-End,2
Cloud Infrastructure,2
Ansible,2
Bash,2
SOLID,2
