Skill,Count
Information Technology (IT),2
ERP Software,2
Agile methodologies,2
Private Cloud,1
Cloud Operations,1
IT Infrastructure,1
OpenShift,1
Nutanix AHV,1
Cisco ACI,1
Data Center Management,1
Disaster Recovery,1
Fortinet,1
Vendor Management,1
Team Leadership,1
Computer Engineering,1
Project Management,1
IT Service Management,1
Kubernetes,1
Software engineering,1
Software development,1
It strategy,1
Erp system,1
Team leadership,1
Vendor management,1
Network administration,1
Budget management,1
System security,1
Cloud computing,1
Project management,1
Data analysis,1
Erp systems,1
Devops,1
Cybersecurity,1
Front-End Development,1
Back-End Development,1
Front-end development,1
Back-end development,1
Javascript,1
Python,1
React,1
Node.js,1
Sql,1
Rest apis,1
Software architecture,1
Problem-solving,1
Teamwork,1
Communication,1
VB 6,1
VB,1
Software Development,1
ERP,1
Computer Science,1
JavaScript,1
Telecom Engineering,1
SW Development,1
.Net Development,1
Program Development,1
Web Development,1
VB.net,1
VB 6.0,1
VBscript,1
VB Scripting,1
VBA,1
ERP System,1
ERP Applications,1
ERP Solutions,1
