job_title,job_count,experience_ranges,Fresh Graduate,Junior,Mid-Level,Senior,Lead / Principal,Executive / Expert
AI/ML Engineer,23,"[(0, 1), (1, 2), (3, 7), (3, 10), (2, 3), (4, 15), (0, 2), (2, 6), (3, 6), (1, 6), (4, 7), (3, 5)]",4,10,14,11,2,0
Backend Developer,14,"[(8, 15), (6, 12), (0, 4), (2, 7), (3, 7), (4, 6), (5, 10), (5, 6), (3, 6), (2, 5)]",1,3,10,9,3,0
Business Analyst,14,"[(2, 4), (3, 7), (4, 6), (5, 10), (7, 6), (2, 6), (4, 8), (8, 6), (2, 5), (3, 5)]",0,3,11,8,2,0
Consulting & Specialist,17,"[(2, 4), (1, 2), (3, 7), (0, 3), (3, 10), (2, 3), (2, 6), (5, 6), (8, 6), (3, 6), (1, 3), (4, 7)]",1,7,13,9,1,0
Data Analyst,10,"[(2, 4), (0, 3), (5, 7), (3, 6), (1, 3)]",1,4,10,5,0,0
Data Engineer,8,"[(1, 5), (3, 7), (8, 12), (8, 6), (3, 6), (2, 5), (4, 7)]",0,2,6,5,1,0
Data Scientist,5,"[(2, 4), (0, 3), (2, 6), (5, 6), (3, 6)]",1,2,4,3,0,0
Design & Creative,4,"[(0, 2), (5, 7), (3, 6)]",1,1,3,3,0,0
DevOps Engineer,14,"[(2, 4), (3, 7), (7, 10), (15, 20), (5, 7), (2, 3), (10, 10), (0, 2), (6, 10), (3, 6), (1, 6), (2, 5)]",1,6,8,5,3,1
ERP Specialist,56,"[(3, 7), (4, 6), (5, 7), (5, 10), (0, 2), (10, 6), (8, 6), (2, 5), (1, 3), (5, 6), (3, 6), (0, 1), (2, 4), (1, 2), (7, 12), (3, 5), (1, 4), (2, 3), (2, 6)]",2,21,46,22,5,0
Education & Training,2,"[(3, 7), (2, 5)]",0,1,2,1,0,0
Engineering (General),10,"[(1, 2), (0, 4), (7, 10), (5, 7), (0, 2), (7, 6), (2, 6)]",2,4,2,4,3,0
Frontend Developer,23,"[(2, 4), (3, 7), (8, 10), (0, 2), (2, 6), (4, 8), (3, 6), (0, 5), (8, 15), (4, 7), (3, 5)]",2,3,19,15,2,0
Full Stack Developer,35,"[(2, 7), (5, 8), (3, 7), (4, 6), (0, 3), (1, 4), (5, 7), (5, 10), (5, 6), (4, 8), (3, 6), (2, 5), (1, 3), (3, 5)]",1,4,34,26,2,0
HR & Recruitment,3,"[(6, 8), (1, 3), (0, 2)]",1,2,1,1,0,0
IT Infrastructure Engineer,53,"[(2, 4), (1, 2), (2, 7), (7, 10), (3, 7), (6, 8), (5, 7), (2, 3), (5, 10), (2, 6), (5, 6), (6, 10), (3, 6), (0, 5), (2, 5), (1, 3), (4, 7), (3, 5)]",1,24,41,17,8,0
Management,13,"[(10, 15), (7, 10), (8, 20), (0, 3), (6, 8), (15, 20), (20, 6), (5, 10), (10, 6), (18, 6), (4, 8)]",1,0,4,5,5,2
Marketing & Content,8,"[(3, 7), (3, 10), (5, 10), (2, 6), (3, 6)]",0,3,5,6,2,0
Mobile Developer,14,"[(2, 4), (2, 7), (3, 7), (4, 6), (5, 6), (3, 6), (1, 3), (3, 5)]",0,3,13,10,0,0
Operations & Administration,14,"[(3, 7), (1, 4), (5, 10), (0, 2), (7, 15), (2, 5), (1, 3), (3, 5)]",3,9,10,1,3,0
Product Manager,14,"[(2, 7), (3, 7), (6, 8), (4, 6), (8, 10), (3, 10), (7, 6), (2, 6), (3, 6), (1, 3), (3, 5)]",0,4,9,8,2,0
Project Manager,13,"[(3, 8), (2, 7), (7, 10), (3, 7), (4, 6), (5, 7), (5, 10), (5, 6), (8, 6), (8, 12)]",0,1,9,8,5,0
QA Engineer,21,"[(3, 7), (4, 6), (8, 12), (0, 2), (5, 10), (2, 6), (5, 6), (3, 6), (1, 6), (2, 5), (1, 3), (4, 7), (3, 5)]",1,7,16,13,2,0
Sales & Business Development,37,"[(4, 10), (2, 4), (3, 4), (2, 7), (4, 9), (3, 7), (4, 6), (5, 7), (2, 3), (5, 10), (2, 6), (5, 6), (3, 6), (2, 5), (1, 3), (4, 7), (3, 5)]",0,17,33,17,3,0
Scrum Master,2,"[(3, 7), (3, 10)]",0,0,2,1,1,0
Security Engineer,14,"[(5, 5), (5, 8), (3, 7), (5, 10), (7, 6), (2, 6), (5, 6), (3, 6), (1, 6), (2, 5), (1, 3)]",0,5,11,9,1,0
Software Engineer,92,"[(6, 15), (3, 4), (3, 7), (4, 6), (3, 10), (5, 7), (0, 2), (5, 10), (0, 5), (1, 6), (0, 8), (2, 5), (1, 3), (8, 15), (10, 15), (5, 6), (3, 6), (0, 1), (2, 4), (1, 2), (2, 7), (1, 5), (2, 10), (7, 6), (4, 7), (3, 5), (4, 10), (5, 8), (3, 20), (2, 3), (5, 20), (1, 7), (2, 6)]",5,26,67,57,11,2
Technical Support Engineer,52,"[(3, 4), (3, 7), (4, 6), (5, 7), (0, 2), (2, 5), (1, 3), (2, 8), (3, 6), (0, 1), (2, 4), (1, 2), (2, 7), (7, 6), (4, 7), (3, 5), (0, 3), (2, 3), (2, 6)]",8,34,37,18,0,0
