job_title,min_experience_years,max_experience_years,Avg_experience_years,career_levels
QA Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
QA Engineer,1,6,3.5,"['Junior', 'Senior']"
QA Engineer,2,6,4.0,"['Junior', 'Senior']"
Technical Support Engineer,2,5,3.5,"['Junior', 'Mid-Level']"
Management,5,10,7.5,"['Mid-Level', 'Lead / Principal']"
Software Engineer,3,5,4.0,['Mid-Level']
IT Infrastructure Engineer,7,10,8.5,['Lead / Principal']
Sales & Business Development,4,10,7.0,"['Mid-Level', 'Lead / Principal']"
Marketing & Content,3,10,6.5,"['Mid-Level', 'Lead / Principal']"
ERP Specialist,1,2,1.5,['Junior']
Full Stack Developer,3,7,5.0,"['Mid-Level', 'Senior']"
Project Manager,7,10,8.5,['Lead / Principal']
Operations & Administration,0,2,1.0,"['Fresh Graduate', 'Junior']"
Technical Support Engineer,3,4,3.5,['Mid-Level']
DevOps Engineer,5,7,6.0,"['Mid-Level', 'Senior']"
IT Infrastructure Engineer,2,7,4.5,"['Junior', 'Senior']"
IT Infrastructure Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Frontend Developer,4,8,6.0,"['Mid-Level', 'Senior']"
Technical Support Engineer,0,1,0.5,"['Fresh Graduate', 'Junior']"
Software Engineer,3,5,4.0,['Mid-Level']
Software Engineer,0,1,0.5,"['Fresh Graduate', 'Junior']"
AI/ML Engineer,2,3,2.5,"['Junior', 'Mid-Level']"
IT Infrastructure Engineer,2,6,4.0,"['Junior', 'Senior']"
Management,4,8,6.0,"['Mid-Level', 'Senior']"
Product Manager,3,6,4.5,"['Mid-Level', 'Senior']"
Backend Developer,2,5,3.5,"['Junior', 'Mid-Level']"
ERP Specialist,3,5,4.0,['Mid-Level']
Education & Training,3,7,5.0,"['Mid-Level', 'Senior']"
Technical Support Engineer,0,2,1.0,"['Fresh Graduate', 'Junior']"
IT Infrastructure Engineer,5,6,5.5,"['Mid-Level', 'Senior']"
Technical Support Engineer,1,3,2.0,"['Junior', 'Mid-Level']"
Product Manager,7,6,6.5,['Senior']
Software Engineer,3,6,4.5,"['Mid-Level', 'Senior']"
