job_title,count
Software Engineer,92
ERP Specialist,56
IT Infrastructure Engineer,53
Technical Support Engineer,52
Sales & Business Development,37
Full Stack Developer,35
Frontend Developer,23
AI/ML Engineer,23
QA Engineer,21
Consulting & Specialist,17
Operations & Administration,14
DevOps Engineer,14
Product Manager,14
Backend Developer,14
Security Engineer,14
Mobile Developer,14
Business Analyst,14
Management,13
Project Manager,13
Engineering (General),10
Data Analyst,10
Marketing & Content,8
Data Engineer,8
Data Scientist,5
Design & Creative,4
HR & Recruitment,3
Education & Training,2
Scrum Master,2
